iter	Passed	Remaining
184	513	2263
185	516	2261
186	519	2258
187	522	2255
188	524	2252
189	527	2247
190	532	2254
191	535	2252
192	537	2248
193	540	2243
194	542	2239
195	545	2238
196	548	2233
197	549	2227
198	551	2220
199	553	2213
200	555	2207
201	557	2201
202	561	2203
203	563	2198
204	566	2196
205	568	2192
206	571	2189
207	574	2186
208	577	2184
209	579	2179
210	582	2178
211	585	2176
212	587	2171
213	589	2166
214	592	2163
215	594	2158
216	597	2155
217	600	2153
218	603	2151
219	605	2147
220	608	2145
221	610	2140
222	613	2137
223	615	2133
224	618	2130
225	620	2126
226	623	2124
227	626	2120
228	628	2117
229	632	2116
230	634	2111
231	638	2113
232	640	2107
233	642	2103
234	645	2101
235	648	2098
236	650	2095
237	654	2096
238	658	2095
239	661	2093
240	663	2090
241	666	2086
242	668	2081
243	671	2079
244	673	2074
245	676	2072
246	678	2067
247	680	2063
248	683	2061
249	686	2059
250	688	2055
251	691	2051
252	693	2047
253	696	2044
254	698	2040
255	701	2038
256	705	2038
257	707	2035
258	710	2031
259	712	2028
260	716	2028
261	718	2023
262	720	2019
263	722	2015
264	725	2011
265	727	2008
266	731	2008
267	734	2006
268	736	2002
269	739	2000
270	742	1997
271	745	1994
272	747	1989
273	749	1985
274	751	1981
275	754	1978
276	756	1975
277	759	1971
278	761	1968
279	763	1963
280	766	1960
281	768	1956
282	771	1955
283	774	1951
284	776	1948
285	778	1944
286	781	1940
287	783	1937
288	785	1933
289	788	1929
290	790	1926
291	793	1925
292	796	1922
293	799	1919
294	801	1915
295	804	1913
296	808	1912
297	810	1908
298	812	1905
299	815	1901
300	817	1898
301	819	1894
302	824	1896
303	827	1894
304	829	1891
305	832	1888
306	835	1887
307	839	1885
308	842	1883
309	844	1880
310	847	1878
311	850	1876
312	854	1876
313	857	1872
314	859	1870
315	862	1866
316	865	1864
317	868	1861
318	869	1856
319	872	1854
320	874	1850
321	878	1849
322	880	1846
323	883	1843
324	887	1842
325	889	1839
326	892	1837
327	895	1835
328	899	1834
329	902	1831
330	904	1828
331	907	1826
332	910	1824
333	913	1821
334	915	1817
335	918	1815
336	921	1813
337	924	1810
338	929	1812
339	932	1809
340	934	1805
341	937	1803
342	939	1800
343	944	1800
344	946	1797
345	948	1793
346	951	1790
347	954	1787
348	956	1784
349	959	1781
350	961	1778
351	964	1774
352	966	1771
353	968	1768
354	971	1765
355	974	1762
356	977	1760
357	979	1756
358	982	1753
359	984	1750
360	987	1747
361	989	1744
362	991	1740
363	994	1737
364	997	1734
365	999	1731
366	1001	1728
367	1005	1726
368	1007	1722
369	1010	1720
370	1012	1717
371	1015	1714
372	1018	1711
373	1021	1709
374	1023	1705
375	1025	1702
376	1028	1699
377	1030	1696
378	1033	1692
379	1035	1689
380	1037	1685
381	1039	1682
382	1042	1679
383	1044	1676
384	1047	1673
385	1050	1670
386	1052	1666
387	1054	1663
388	1056	1660
389	1059	1657
390	1062	1654
391	1064	1650
392	1067	1648
393	1069	1644
394	1071	1641
395	1074	1638
396	1076	1635
397	1079	1633
398	1082	1630
399	1084	1627
400	1087	1624
401	1089	1620
402	1092	1617
403	1094	1614
404	1097	1611
405	1099	1608
406	1101	1605
407	1104	1602
408	1107	1600
409	1109	1597
410	1112	1593
411	1114	1590
412	1116	1586
413	1119	1584
414	1121	1581
415	1124	1578
416	1126	1575
417	1138	1585
418	1141	1582
419	1144	1580
420	1147	1577
421	1149	1574
422	1152	1571
423	1154	1568
424	1157	1566
425	1160	1564
426	1163	1561
427	1165	1557
428	1168	1554
429	1170	1551
430	1174	1550
431	1176	1547
432	1179	1544
433	1181	1541
434	1184	1538
435	1187	1536
436	1190	1533
437	1192	1530
438	1194	1526
439	1197	1524
440	1200	1521
441	1202	1518
442	1205	1515
443	1207	1512
